date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:34	654304/654304	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22aa-9fbe0%22	http://lambert.kwst.net/site/images/bg/12.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/12.jpg	(from http://lambert.kwst.net/site/menu.html)
12:08:59	544015/544015	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22be-84d0f%22	http://lambert.kwst.net/site/images/bg/17.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/17.jpg	(from http://lambert.kwst.net/site/menu.html)
12:09:29	336389/336389	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2297-52205%22	http://lambert.kwst.net/site/images/bg/20.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/20.jpg	(from http://lambert.kwst.net/site/menu.html)
12:10:01	192286/192286	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2294-2ef1e%22	http://lambert.kwst.net/site/images/bg/22.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/22.jpg	(from http://lambert.kwst.net/site/menu.html)
12:10:11	909746/909746	---M--	200	added ('OK')	image/png	etag:%22555315e2-de1b2%22	http://lambert.kwst.net/site/images/menu/2.png	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/menu/2.png	(from http://lambert.kwst.net/site/menu.html)
12:10:28	161429/161429	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2291-27695%22	http://lambert.kwst.net/site/images/bg/27.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/27.jpg	(from http://lambert.kwst.net/site/menu.html)
12:11:17	406949/406949	---M--	200	added ('OK')	image/png	etag:%2255538070-635a5%22	http://lambert.kwst.net/site/images/menu/3.png	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/menu/3.png	(from http://lambert.kwst.net/site/menu.html)
12:11:23	342371/342371	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22a3-53963%22	http://lambert.kwst.net/site/images/bg/19.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/19.jpg	(from http://lambert.kwst.net/site/menu.html)
12:11:31	947500/947500	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22b6-e752c%22	http://lambert.kwst.net/site/images/bg/21.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/21.jpg	(from http://lambert.kwst.net/site/menu.html)
12:11:55	139966/139966	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22fa-222be%22	http://lambert.kwst.net/site/images/gallery/3.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/3.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:12:14	353139/353139	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2302-56373%22	http://lambert.kwst.net/site/images/gallery/1.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/1.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:12:21	358993/358993	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22fe-57a51%22	http://lambert.kwst.net/site/images/gallery/2.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/2.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:12:33	235804/235804	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2306-3991c%22	http://lambert.kwst.net/site/images/gallery/4.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/4.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:12:34	119412/119412	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22fb-1d274%22	http://lambert.kwst.net/site/images/gallery/8.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/8.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:12:58	223896/223896	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2303-36a98%22	http://lambert.kwst.net/site/images/gallery/7.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/7.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:13:05	186635/186635	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22fd-2d90b%22	http://lambert.kwst.net/site/images/gallery/6.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/6.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:13:06	14934/14934	---MCZ	200	added ('OK')	text/html	etag:W/%226443e254-3a56%22	http://lambert.kwst.net/site/cart.html	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/cart.html	(from http://lambert.kwst.net/site/shop.html)
12:13:07	23295/23295	---MCZ	200	added ('OK')	text/html	etag:W/%226443e315-5aff%22	http://lambert.kwst.net/site/product.html	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/product.html	(from http://lambert.kwst.net/site/shop.html)
12:13:19	284813/284813	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2307-4588d%22	http://lambert.kwst.net/site/images/gallery/5.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/gallery/5.jpg	(from http://lambert.kwst.net/site/gallery.html)
12:13:21	33716/33716	---MCZ	200	added ('OK')	text/html	etag:W/%226443e23c-83b4%22	http://lambert.kwst.net/site/blog-single.html	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/blog-single.html	(from http://lambert.kwst.net/site/blog.html)
